subject,status,error,n_files,n_epochs,n_channels,classes,n_classes,chance,majority_baseline,balanced,dropped_bads,acc_mean_vote_c2c,acc_within_sd_vote_c2c,acc_fold_min_vote_c2c,acc_fold_max_vote_c2c,n_folds,f1_macro_vote_c2c,bal_acc_vote_c2c,runtime_s_vote_c2c,acc_mean_single_c2c,acc_within_sd_single_c2c,acc_fold_min_single_c2c,acc_fold_max_single_c2c,f1_macro_single_c2c,bal_acc_single_c2c,runtime_s_single_c2c,acc_between_sd_vote_c2c,acc_between_sem_vote_c2c,acc_between_sd_single_c2c,acc_between_sem_single_c2c
AEH,ok,,,,,,2,0.5,,,,0.7466666666666667,0.15650503877030233,0.5333333333333333,1.0,10.0,0.7292933130699089,0.7250000000000001,,0.7866666666666666,0.10795518045769885,0.6666666666666666,1.0,0.7645211930926217,0.7555555555555555,,,,,
AN,ok,,,,,,2,0.5,,,,0.8400000000000001,0.06582805886043834,0.75,0.9,10.0,0.8376623376623377,0.8500000000000001,,0.9400000000000001,0.02108185106778917,0.9,0.95,0.9372319280259442,0.9354166666666667,,,,,
BA,ok,,,,,,2,0.5,,,,0.9199999999999999,0.08195150628704789,0.7333333333333333,1.0,10.0,0.9151103565365025,0.9083333333333333,,0.9333333333333333,0.06285393610547088,0.8,1.0,0.9301545911715403,0.9277777777777778,,,,,
EA,ok,,,,,,2,0.5,,,,0.7482456140350877,0.0852639912752483,0.631578947368421,0.8888888888888888,10.0,0.7121596259589741,0.7070574162679426,,0.7418128654970759,0.06558592437506167,0.631578947368421,0.8421052631578947,0.7251231527093596,0.7208133971291866,,,,,
EE,ok,,,,,,2,0.5,,,,0.7133333333333333,0.07730012058189374,0.6,0.8,10.0,0.6821250800847667,0.6777777777777778,,0.8266666666666665,0.10517475169954875,0.6666666666666666,1.0,0.8103481812876872,0.8,,,,,
ID,ok,,,,,,2,0.5,,,,0.7733333333333332,0.12649110640673517,0.5333333333333333,0.9333333333333333,10.0,0.7707246898039921,0.7833333333333333,,0.8333333333333334,0.10999438818457406,0.6666666666666666,1.0,0.8268618126413962,0.8277777777777777,,,,,
LD,ok,,,,,,2,0.5,,,,0.7666666666666666,0.12272623352430291,0.6,1.0,10.0,0.7457750230013074,0.7388888888888889,,0.7666666666666666,0.14824071182362594,0.5333333333333333,1.0,0.7497497497497497,0.7444444444444445,,,,,
NS,ok,,,,,,2,0.5,,,,0.9257142857142858,0.05828661340386148,0.8,1.0,10.0,0.9201295196977874,0.9113026819923371,,0.9523809523809523,0.04550879741851253,0.8666666666666667,1.0,0.9495495495495495,0.94272030651341,,,,,
NZ,ok,,,,,,2,0.5,,,,0.8699999999999999,0.058689389538863365,0.75,0.95,10.0,0.8605748605748604,0.8520833333333333,,0.865,0.06687467549246291,0.75,0.95,0.8578011849901251,0.8541666666666667,,,,,
SK,ok,,,,,,2,0.5,,,,0.78,0.07300897137844413,0.6666666666666666,0.8666666666666667,10.0,0.7542604670734274,0.7446428571428572,,0.780952380952381,0.10146321786982151,0.6428571428571429,0.9333333333333333,0.7589267285861713,0.7513888888888889,,,,,
GROUP,ok,,,,,,2,0.5,,,,0.8083959899749373,,,,,0.7927815273463864,,,0.8426812865497076,,,,0.8310268071804143,,,0.07546555461521906,0.023864303747192395,0.07707534245793894,0.024373363360456767
