subject,status,error,n_files,n_epochs,n_epochs_before,n_channels,dropped_bads,classes,n_classes,balanced,chance,majority_baseline,n_MiddleHand,n_LeftHand,n_RightHand,n_FixatedRest,acc_full_mean_c2c,acc_full_peak_c2c,acc_full_peak_t_c2c,acc_eval_mean_c2c,acc_eval_within_sem_c2c,acc_eval_within_ci95_c2c,acc_eval_fold_min_c2c,acc_eval_fold_max_c2c,acc_eval_above_chance_c2c,f1_macro_eval_c2c,bal_acc_eval_c2c,acc_precue_mean_c2c,precue_flag_c2c,n_folds,n_windows,runtime_s_c2c,acc_full_mean_u2u,acc_full_peak_u2u,acc_full_peak_t_u2u,acc_eval_mean_u2u,acc_eval_within_sem_u2u,acc_eval_within_ci95_u2u,acc_eval_fold_min_u2u,acc_eval_fold_max_u2u,acc_eval_above_chance_u2u,f1_macro_eval_u2u,bal_acc_eval_u2u,acc_precue_mean_u2u,precue_flag_u2u,runtime_s_u2u,acc_full_mean_c2u,acc_full_peak_c2u,acc_full_peak_t_c2u,acc_eval_mean_c2u,acc_eval_within_sem_c2u,acc_eval_within_ci95_c2u,acc_eval_fold_min_c2u,acc_eval_fold_max_c2u,acc_eval_above_chance_c2u,f1_macro_eval_c2u,bal_acc_eval_c2u,acc_precue_mean_c2u,precue_flag_c2u,runtime_s_c2u,acc_full_mean_u2c,acc_full_peak_u2c,acc_full_peak_t_u2c,acc_eval_mean_u2c,acc_eval_within_sem_u2c,acc_eval_within_ci95_u2c,acc_eval_fold_min_u2c,acc_eval_fold_max_u2c,acc_eval_above_chance_u2c,f1_macro_eval_u2c,bal_acc_eval_u2c,acc_precue_mean_u2c,precue_flag_u2c,runtime_s_u2c,in_group_cohort,delta_cost_of_centering_at_inference,delta_cost_of_centering_at_inference_f1,delta_centered_vs_never_centered,delta_centered_vs_never_centered_f1,acc_eval_between_std_c2c,acc_eval_between_sem_c2c,acc_eval_between_ci95_c2c,n_subjects,f1_macro_between_std_c2c,acc_eval_between_std_u2u,acc_eval_between_sem_u2u,acc_eval_between_ci95_u2u,f1_macro_between_std_u2u,acc_eval_between_std_c2u,acc_eval_between_sem_c2u,acc_eval_between_ci95_c2u,f1_macro_between_std_c2u,acc_eval_between_std_u2c,acc_eval_between_sem_u2c,acc_eval_between_ci95_u2c,f1_macro_between_std_u2c
AEH,ok,,3.0,75.0,,32.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.6052252252252253,0.8,2.75,0.7302564102564103,0.03178935711756125,0.062307139950420046,0.6000000000000001,0.912820512820513,0.2302564102564103,0.7176523829291039,0.7166666666666667,0.47925925925925916,False,10.0,37.0,,0.5529729729729731,0.7133333333333334,2.5,0.6712820512820514,0.03573794442986989,0.07004637108254498,0.517948717948718,0.8666666666666669,0.17128205128205143,0.6585182212404153,0.658974358974359,0.4466666666666666,False,,0.5951351351351352,0.7466666666666667,4.25,0.703076923076923,0.02679401980679042,0.05251627882130923,0.5743589743589743,0.835897435897436,0.20307692307692304,0.6773127775337329,0.6735042735042736,0.5081481481481481,False,,0.5715315315315316,0.7533333333333334,2.75,0.6933333333333334,0.0331888166824249,0.0650500806975528,0.5692307692307692,0.8871794871794874,0.19333333333333336,0.6839498222573479,0.6863247863247863,0.42814814814814817,False,,True,0.02717948717948726,0.04033960539537107,0.031794871794871615,0.01879455629331761,,,,,,,,,,,,,,,,,
AN,ok,,4.0,100.0,,35.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.6591891891891892,0.885,3.0,0.7992307692307692,0.013221921112157682,0.025914965379829055,0.7423076923076923,0.8653846153846154,0.2992307692307692,0.7961427541456381,0.8068910256410257,0.5016666666666667,False,10.0,37.0,,0.642972972972973,0.865,2.75,0.7907692307692307,0.01410489491228212,0.027645594028072953,0.7153846153846154,0.8692307692307693,0.29076923076923067,0.785644874905962,0.7915064102564102,0.4844444444444445,False,,0.6644594594594595,0.8550000000000001,2.75,0.8053846153846154,0.012124708120550649,0.023764427916279272,0.7615384615384617,0.8615384615384615,0.30538461538461537,0.7974692586167933,0.7977564102564103,0.4988888888888888,False,,0.642972972972973,0.89,3.0,0.796923076923077,0.014783113133743156,0.028974901742136586,0.7230769230769231,0.8846153846153846,0.29692307692307696,0.7944004064066559,0.8070512820512821,0.4805555555555556,False,,True,-0.006153846153846176,-0.001326504471155232,0.014615384615384697,0.011824383710831277,,,,,,,,,,,,,,,,,
BA,ok,,3.0,75.0,,31.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.6841441441441443,0.9333333333333333,3.0,0.8917948717948718,0.018130137269745827,0.03553506904870182,0.7641025641025639,0.9538461538461539,0.3917948717948718,0.8849694216320112,0.8782051282051282,0.5185185185185184,False,10.0,37.0,,0.6663063063063065,0.9200000000000002,3.0,0.8707692307692309,0.02437681158287302,0.047778550702431116,0.7333333333333333,0.9641025641025641,0.37076923076923085,0.8623597268033845,0.8555555555555556,0.4985185185185186,False,,0.6767567567567568,0.9400000000000001,3.0,0.8825641025641027,0.018433819012766393,0.03613028526502213,0.7589743589743588,0.958974358974359,0.38256410256410267,0.8748204161439754,0.8675213675213675,0.5259259259259259,False,,0.6780180180180181,0.9266666666666665,3.0,0.8794871794871796,0.024007815222543846,0.04705531783618594,0.7282051282051281,0.9641025641025642,0.3794871794871796,0.8708236139789568,0.8621794871794872,0.5096296296296295,False,,True,0.009230769230769154,0.010149005488035767,0.01179487179487182,0.012460689340590969,,,,,,,,,,,,,,,,,
EA,ok,,4.0,93.0,,30.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.6056503872293346,0.7742690058479533,2.5,0.7014619883040936,0.016167237195638156,0.03168778490345078,0.6072874493927126,0.7948717948717949,0.20146198830409356,0.6719902930017714,0.6689915347810085,0.5382716049382716,False,10.0,37.0,,0.590801327643433,0.7307017543859649,2.5,0.6691183085919927,0.01381896552536402,0.02708517242971348,0.5951417004048583,0.7606837606837605,0.16911830859199273,0.6446911558675588,0.6426573426573426,0.536582196231319,False,,0.5964912280701754,0.7728070175438596,2.5,0.702204228520018,0.014760008394948154,0.028929616454098382,0.6275303643724697,0.7530364372469636,0.20220422852001796,0.684187612468799,0.6813029076186972,0.517966211825861,False,,0.613963963963964,0.7532163742690059,2.25,0.7058704453441295,0.019728018077991245,0.03866691543286284,0.611336032388664,0.8504273504273504,0.20587044534412946,0.6654202977584184,0.6643540669856459,0.5439246263807668,False,,True,-0.0007422402159243946,-0.012197319467027623,0.03308591992802523,0.03949645660124024,,,,,,,,,,,,,,,,,
EE,ok,,3.0,75.0,,35.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.6358558558558561,0.7533333333333333,5.0,0.6974358974358974,0.025181059594284162,0.04935487680479696,0.5846153846153845,0.7794871794871793,0.1974358974358974,0.6660276536650163,0.6626068376068376,0.5518518518518518,False,10.0,37.0,,0.6014414414414415,0.7066666666666667,5.0,0.6415384615384615,0.022901517615540094,0.04488697452645858,0.5333333333333333,0.7384615384615384,0.1415384615384615,0.6125950038241695,0.6113247863247863,0.5496296296296296,False,,0.6324324324324326,0.76,5.0,0.6866666666666666,0.025371230175582682,0.04972761114414206,0.5692307692307692,0.7794871794871795,0.18666666666666665,0.6497600836730788,0.6476495726495727,0.5688888888888889,False,,0.6165765765765767,0.7066666666666667,4.75,0.6805128205128205,0.021296291532076954,0.04174073140287083,0.5846153846153845,0.7743589743589745,0.18051282051282047,0.6598144177529914,0.6574786324786325,0.531111111111111,False,,True,0.010769230769230753,0.01626756999193746,0.045128205128205146,0.037165079848909266,,,,,,,,,,,,,,,,,
ID,ok,,3.0,75.0,,33.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.6502702702702703,0.8733333333333334,5.5,0.7646153846153847,0.02967129439635121,0.05815573701684837,0.6051282051282052,0.8923076923076926,0.2646153846153847,0.7616639030987554,0.7732905982905982,0.5637037037037037,False,10.0,37.0,,0.6506306306306306,0.86,5.5,0.7487179487179487,0.022997647943715754,0.045075389969682876,0.6051282051282052,0.8256410256410257,0.24871794871794872,0.7445867357249245,0.7534188034188034,0.5814814814814815,False,,0.6515315315315316,0.8533333333333335,4.75,0.7579487179487179,0.02674326059022834,0.05241679075684755,0.5897435897435896,0.8512820512820516,0.2579487179487179,0.7538376612331225,0.7626068376068376,0.5718518518518518,False,,0.6524324324324325,0.86,5.0,0.7671794871794874,0.025836293510986787,0.0506391352815341,0.6256410256410257,0.8769230769230771,0.26717948717948736,0.7640096134161323,0.775,0.5703703703703703,False,,True,0.006666666666666821,0.007826241865632966,0.009230769230769154,0.009250925508197949,,,,,,,,,,,,,,,,,
LD,ok,,3.0,75.0,,34.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.6610810810810814,0.7866666666666667,2.75,0.7523076923076923,0.031222211693466426,0.061195534919194196,0.594871794871795,0.9076923076923079,0.25230769230769234,0.7287200720072007,0.7222222222222222,0.6081481481481481,True,10.0,37.0,,0.6369369369369371,0.7466666666666667,4.25,0.7082051282051283,0.02516306669481322,0.049319610721833905,0.6,0.8512820512820514,0.20820512820512826,0.6834808406849285,0.6794871794871795,0.6059259259259259,True,,0.6491891891891894,0.7733333333333334,2.75,0.7282051282051283,0.03003881386186503,0.05887607516925546,0.5743589743589744,0.8923076923076926,0.22820512820512828,0.6980757477847201,0.6927350427350427,0.6088888888888888,True,,0.6490090090090092,0.7933333333333332,3.0,0.7302564102564102,0.026495175070082148,0.05193054313736101,0.6153846153846154,0.8615384615384616,0.2302564102564102,0.7117576572363806,0.7079059829059828,0.5977777777777777,False,,True,0.02410256410256406,0.030644324222480535,0.020000000000000018,0.01459490709979161,,,,,,,,,,,,,,,,,
NS,ok,,4.0,74.0,,33.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.7205662805662807,0.9061904761904762,2.5,0.8779853479853481,0.015004157636141,0.02940814896683636,0.7846153846153844,0.9435897435897437,0.3779853479853481,0.869423895825602,0.863262599469496,0.5545502645502646,False,10.0,37.0,,0.6972972972972974,0.8795238095238094,2.75,0.8406227106227107,0.01442047931592912,0.028264139459221075,0.7538461538461539,0.9179487179487181,0.34062271062271066,0.8286304986928269,0.8221190686707929,0.5284126984126984,False,,0.7115444015444018,0.9061904761904762,2.25,0.8638095238095239,0.017738824073231154,0.03476809518353306,0.7641025641025639,0.9384615384615386,0.3638095238095239,0.8544625987980248,0.8486590038314177,0.5475132275132275,False,,0.7149420849420851,0.9261904761904762,2.75,0.8765201465201466,0.015071968051223949,0.029541057380398937,0.7743589743589742,0.9487179487179488,0.37652014652014665,0.868016044032314,0.8624521072796936,0.5432275132275133,False,,True,0.014175824175824192,0.014961297027577203,0.02318681318681326,0.025832100105197875,,,,,,,,,,,,,,,,,
NZ,ok,,4.0,100.0,,35.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.6572972972972974,0.8699999999999999,3.25,0.8311538461538461,0.013390533125432338,0.02624544492584738,0.7384615384615384,0.8884615384615385,0.33115384615384613,0.8179991418182768,0.8097756410256409,0.5077777777777778,False,10.0,37.0,,0.6435135135135136,0.8450000000000001,3.25,0.7803846153846152,0.013825364259574788,0.027097713948766585,0.7115384615384615,0.8500000000000001,0.28038461538461523,0.7609693509124817,0.753525641025641,0.5194444444444445,False,,0.6567567567567568,0.8550000000000001,3.0,0.7961538461538461,0.013323467750529809,0.026113996791038426,0.723076923076923,0.8576923076923075,0.2961538461538461,0.7748366013071895,0.765224358974359,0.5311111111111111,False,,0.6672972972972974,0.8949999999999999,3.25,0.8361538461538462,0.01352184294711305,0.026502812176341577,0.7499999999999999,0.9115384615384616,0.33615384615384625,0.8262751741012611,0.8213141025641026,0.5238888888888888,False,,True,0.03500000000000003,0.043162540511087366,0.01576923076923087,0.013867250394707709,,,,,,,,,,,,,,,,,
SK,ok,,5.0,73.0,,31.0,,MiddleHand|FixatedRest,2,,0.5,,,,,,0.6954311454311456,0.821904761904762,2.0,0.7505860805860806,0.0165833767971845,0.03250341852248162,0.6813186813186813,0.8351648351648353,0.25058608058608056,0.7273050630969684,0.7215811965811966,0.6453968253968254,True,10.0,37.0,,0.5512612612612614,0.6442857142857144,2.25,0.5645054945054945,0.025036269033300612,0.0490710873052692,0.4395604395604395,0.6978021978021978,0.06450549450549448,0.5329062075064027,0.5328449328449328,0.5580952380952381,False,,0.6311583011583013,0.6647619047619047,2.5,0.6517948717948718,0.012965193286669726,0.02541177884187266,0.5948717948717948,0.7128205128205127,0.15179487179487183,0.5059633155774711,0.5553571428571429,0.6337566137566137,True,,0.5785328185328187,0.6861904761904761,2.25,0.6312454212454213,0.026647609666489634,0.05222931494631968,0.48717948717948717,0.7912087912087912,0.13124542124542127,0.6253995532942787,0.6376373626373626,0.5453968253968254,False,,True,0.09879120879120873,0.2213417475194973,0.08728937728937736,-0.026942891928931623,,,,,,,,,,,,,,,,,
