subject,status,error,n_files,n_epochs,n_channels,classes,n_classes,chance,majority_baseline,balanced,dropped_bads,acc_mean_vote_c2c,acc_within_sd_vote_c2c,acc_fold_min_vote_c2c,acc_fold_max_vote_c2c,n_folds,f1_macro_vote_c2c,bal_acc_vote_c2c,runtime_s_vote_c2c,acc_mean_single_c2c,acc_within_sd_single_c2c,acc_fold_min_single_c2c,acc_fold_max_single_c2c,f1_macro_single_c2c,bal_acc_single_c2c,runtime_s_single_c2c,acc_between_sd_vote_c2c,acc_between_sem_vote_c2c,acc_between_sd_single_c2c,acc_between_sem_single_c2c
AEH,ok,,,,,,4,0.25,,,,0.7090909090909092,0.079791586497501,0.5757575757575758,0.8484848484848485,10.0,0.6924719221703638,0.6888888888888889,,0.687878787878788,0.05898505584103608,0.6060606060606061,0.7878787878787878,0.6661299468302426,0.6638888888888889,,,,,
AN,ok,,,,,,4,0.25,,,,0.8363636363636363,0.0622872872457408,0.7045454545454546,0.8863636363636364,10.0,0.829376902966408,0.8333333333333334,,0.8795454545454545,0.030397579769301304,0.8409090909090909,0.9318181818181818,0.8762721217842363,0.8729166666666667,,,,,
BA,ok,,,,,,4,0.25,,,,0.7212121212121213,0.05306636580429777,0.6363636363636364,0.8181818181818182,10.0,0.7218009456368296,0.7152777777777779,,0.7363636363636364,0.03792925930407792,0.696969696969697,0.7878787878787878,0.7325621075621076,0.7277777777777779,,,,,
EA,ok,,,,,,4,0.25,,,,0.4076074332171893,0.06334343410164299,0.2926829268292683,0.5121951219512195,10.0,0.4036047102286146,0.3967717589428116,,0.44907084785133566,0.05306315174313134,0.36585365853658536,0.5121951219512195,0.44939644359768194,0.44271402939166093,,,,,
EE,ok,,,,,,4,0.25,,,,0.5606060606060607,0.09174698042719671,0.36363636363636365,0.696969696969697,10.0,0.5693212960860019,0.5611111111111111,,0.5757575757575758,0.0606060606060606,0.48484848484848486,0.6666666666666666,0.5801887084673466,0.5847222222222223,,,,,
ID,ok,,,,,,4,0.25,,,,0.7393939393939395,0.05382994987666355,0.6666666666666666,0.8181818181818182,10.0,0.7319754927741462,0.7444444444444445,,0.796969696969697,0.07565649822656165,0.6363636363636364,0.8787878787878788,0.7963323934286217,0.7972222222222223,,,,,
LD,ok,,,,,,4,0.25,,,,0.6939393939393941,0.08384446856342276,0.5757575757575758,0.8484848484848485,10.0,0.6942959001782532,0.6847222222222222,,0.6787878787878789,0.09917525421118042,0.5151515151515151,0.8181818181818182,0.6825479224562581,0.6722222222222222,,,,,
NS,ok,,,,,,4,0.25,,,,0.7868983957219251,0.05736109494994041,0.7058823529411765,0.8823529411764706,10.0,0.8007140124952186,0.7994315620710144,,0.8165775401069519,0.03619557745738137,0.7647058823529411,0.8529411764705882,0.8254624356583552,0.8237182934824923,,,,,
NZ,ok,,,,,,4,0.25,,,,0.5545454545454545,0.04694525268130203,0.4772727272727273,0.6363636363636364,10.0,0.5706038292942698,0.5697916666666667,,0.5454545454545454,0.04670010608309832,0.45454545454545453,0.6136363636363636,0.5630037542395411,0.5572916666666666,,,,,
SK,ok,,,,,,4,0.25,,,,0.48465909090909093,0.08540222409946112,0.36363636363636365,0.65625,10.0,0.49354528677284093,0.4787968975468975,,0.4785984848484849,0.07019821632380244,0.3939393939393939,0.625,0.4870105585337584,0.47187049062049063,,,,,
GROUP,ok,,,,,,4,0.25,,,,0.6494316434999721,,,,,0.6507710298602947,,,0.6645004448564349,,,,0.6658906392558149,,,0.13950261375588816,0.04411459990153432,0.14751706899833217,0.046648993178694316
