subject,status,error,n_recordings,n_epochs,n_channels,classes,n_classes,chance,majority_baseline,acc_mean_cross_vote_c2u,acc_sd_cross_vote_c2u,acc_fold_min_cross_vote_c2u,acc_fold_max_cross_vote_c2u,n_folds_cross_vote_c2u,f1_macro_cross_vote_c2u,bal_acc_cross_vote_c2u,train_sizes_cross,test_sizes_cross,acc_mean_cross_vote_u2u,acc_sd_cross_vote_u2u,acc_fold_min_cross_vote_u2u,acc_fold_max_cross_vote_u2u,n_folds_cross_vote_u2u,f1_macro_cross_vote_u2u,bal_acc_cross_vote_u2u,acc_mean_cross_vote_c2c,acc_sd_cross_vote_c2c,acc_fold_min_cross_vote_c2c,acc_fold_max_cross_vote_c2c,n_folds_cross_vote_c2c,f1_macro_cross_vote_c2c,bal_acc_cross_vote_c2c,acc_mean_cross_single_c2u,acc_sd_cross_single_c2u,acc_fold_min_cross_single_c2u,acc_fold_max_cross_single_c2u,n_folds_cross_single_c2u,f1_macro_cross_single_c2u,bal_acc_cross_single_c2u,acc_mean_cross_single_u2u,acc_sd_cross_single_u2u,acc_fold_min_cross_single_u2u,acc_fold_max_cross_single_u2u,n_folds_cross_single_u2u,f1_macro_cross_single_u2u,bal_acc_cross_single_u2u,acc_mean_cross_single_c2c,acc_sd_cross_single_c2c,acc_fold_min_cross_single_c2c,acc_fold_max_cross_single_c2c,n_folds_cross_single_c2c,f1_macro_cross_single_c2c,bal_acc_cross_single_c2c,acc_mean_within_vote_c2u,acc_sd_within_vote_c2u,acc_fold_min_within_vote_c2u,acc_fold_max_within_vote_c2u,n_folds_within_vote_c2u,f1_macro_within_vote_c2u,bal_acc_within_vote_c2u,train_sizes_within,test_sizes_within,acc_mean_within_vote_u2u,acc_sd_within_vote_u2u,acc_fold_min_within_vote_u2u,acc_fold_max_within_vote_u2u,n_folds_within_vote_u2u,f1_macro_within_vote_u2u,bal_acc_within_vote_u2u,acc_mean_within_vote_c2c,acc_sd_within_vote_c2c,acc_fold_min_within_vote_c2c,acc_fold_max_within_vote_c2c,n_folds_within_vote_c2c,f1_macro_within_vote_c2c,bal_acc_within_vote_c2c,acc_mean_within_single_c2u,acc_sd_within_single_c2u,acc_fold_min_within_single_c2u,acc_fold_max_within_single_c2u,n_folds_within_single_c2u,f1_macro_within_single_c2u,bal_acc_within_single_c2u,acc_mean_within_single_u2u,acc_sd_within_single_u2u,acc_fold_min_within_single_u2u,acc_fold_max_within_single_u2u,n_folds_within_single_u2u,f1_macro_within_single_u2u,bal_acc_within_single_u2u,acc_mean_within_single_c2c,acc_sd_within_single_c2c,acc_fold_min_within_single_c2c,acc_fold_max_within_single_c2c,n_folds_within_single_c2c,f1_macro_within_single_c2c,bal_acc_within_single_c2c,delta_generalisation_gap_vote_c2u,delta_generalisation_gap_vote_u2u,delta_generalisation_gap_vote_c2c,delta_centering_benefit_cross_vote,delta_centering_benefit_within_vote,delta_leak_size_cross_vote,delta_leak_size_within_vote,delta_generalisation_gap_single_c2u,delta_generalisation_gap_single_u2u,delta_generalisation_gap_single_c2c,delta_centering_benefit_cross_single,delta_centering_benefit_within_single,delta_leak_size_cross_single,delta_leak_size_within_single,acc_between_sd_cross_vote_c2u,acc_between_sd_cross_vote_u2u,acc_between_sd_cross_vote_c2c,acc_between_sd_cross_single_c2u,acc_between_sd_cross_single_u2u,acc_between_sd_cross_single_c2c,acc_between_sd_within_vote_c2u,acc_between_sd_within_vote_u2u,acc_between_sd_within_vote_c2c,acc_between_sd_within_single_c2u,acc_between_sd_within_single_u2u,acc_between_sd_within_single_c2c
AEH,ok,,3.0,165.0,31.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.2727272727272727,0.5878787878787878,0.06883525267636698,0.509090909090909,0.6363636363636364,3.0,0.5594175088785703,0.5638888888888889,110|110|110,55|55|55,0.5636363636363636,0.14200453956193915,0.4,0.6545454545454545,3.0,0.5428350310181593,0.55,0.5757575757575758,0.08198635914223444,0.4909090909090909,0.6545454545454545,3.0,0.5604444410429219,0.5638888888888889,0.5636363636363636,0.14431370787625042,0.45454545454545453,0.7272727272727273,3.0,0.5336783467661613,0.5361111111111111,0.5757575757575758,0.1546345554202797,0.41818181818181815,0.7272727272727273,3.0,0.5463879339728821,0.55,0.5393939393939394,0.10338619460140595,0.45454545454545453,0.6545454545454545,3.0,0.5134625425424727,0.5166666666666666,0.6303030303030303,0.058446368248442175,0.5636363636363636,0.6727272727272727,3.0,0.6025601877625669,0.6027777777777777,110|110|110,55|55|55,0.5939393939393939,0.04575657233497425,0.5454545454545454,0.6363636363636364,3.0,0.5709268120876572,0.5722222222222222,0.6545454545454545,0.06298366572977737,0.5818181818181818,0.6909090909090909,3.0,0.617110538373425,0.6222222222222222,0.6060606060606061,0.04198911048651825,0.5818181818181818,0.6545454545454545,3.0,0.5648124597845579,0.5722222222222223,0.5818181818181819,0.06555547773570891,0.5272727272727272,0.6545454545454545,3.0,0.5481205673758865,0.5527777777777778,0.6363636363636364,0.06298366572977737,0.6,0.7090909090909091,3.0,0.6074843746351736,0.6083333333333333,0.042424242424242475,0.030303030303030276,0.07878787878787874,0.024242424242424176,0.036363636363636376,-0.012121212121211977,0.024242424242424288,0.042424242424242475,0.0060606060606061,0.09696969696969693,-0.0121212121212122,0.024242424242424176,-0.024242424242424176,0.030303030303030276,,,,,,,,,,,,
AN,ok,,4.0,220.0,34.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.2727272727272727,0.8090909090909091,0.03481553119113953,0.7818181818181819,0.8545454545454545,4.0,0.7970067631087849,0.7979166666666667,165|165|165|165,55|55|55|55,0.7954545454545455,0.04545454545454547,0.7272727272727273,0.8181818181818182,4.0,0.7838218106850315,0.7895833333333333,0.8181818181818181,0.06639061303092919,0.7454545454545455,0.8909090909090909,4.0,0.8104488731607375,0.8166666666666668,0.7909090909090909,0.03481553119113953,0.7636363636363637,0.8363636363636363,4.0,0.7628934750885971,0.7625,0.8227272727272728,0.022878286167487074,0.8,0.8545454545454545,4.0,0.8116136625546421,0.8104166666666667,0.8227272727272726,0.047817375266846936,0.7818181818181819,0.8909090909090909,4.0,0.8079642493285171,0.80625,0.8727272727272728,0.05749595745760688,0.8181818181818182,0.9454545454545454,4.0,0.8669145651874092,0.8687500000000001,165|165|165|165,55|55|55|55,0.8318181818181819,0.05628538066971727,0.7818181818181819,0.9090909090909091,4.0,0.8247355872581591,0.8291666666666667,0.8590909090909091,0.047817375266846956,0.8181818181818182,0.9272727272727272,4.0,0.8481672044206379,0.8520833333333333,0.8818181818181817,0.010497277621629561,0.8727272727272727,0.8909090909090909,4.0,0.8721389954978787,0.8666666666666667,0.8545454545454545,0.029690784761008185,0.8181818181818182,0.8909090909090909,4.0,0.847609420198018,0.84375,0.8954545454545454,0.01740776559556979,0.8727272727272727,0.9090909090909091,4.0,0.8884393560208295,0.8854166666666666,0.06363636363636371,0.036363636363636376,0.040909090909091006,0.013636363636363558,0.040909090909090895,0.009090909090909038,-0.013636363636363669,0.09090909090909083,0.031818181818181746,0.07272727272727275,-0.03181818181818186,0.027272727272727226,0.031818181818181746,0.013636363636363669,,,,,,,,,,,,
BA,ok,,3.0,165.0,32.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.2727272727272727,0.6666666666666666,0.1001376463142928,0.6,0.7818181818181819,3.0,0.6605907116325871,0.6666666666666667,110|110|110,55|55|55,0.6484848484848484,0.15885263541916556,0.4727272727272727,0.7818181818181819,3.0,0.6420084492166871,0.65,0.6909090909090909,0.036363636363636376,0.6545454545454545,0.7272727272727273,3.0,0.6829919534017894,0.6916666666666667,0.6484848484848484,0.09330184435357974,0.5454545454545454,0.7272727272727273,3.0,0.64510095054253,0.6527777777777778,0.6363636363636364,0.11059568236905858,0.509090909090909,0.7090909090909091,3.0,0.6330654846803656,0.6444444444444444,0.6363636363636364,0.054545454545454564,0.5818181818181818,0.6909090909090909,3.0,0.6341186638206905,0.6388888888888888,0.6969696969696969,0.07348094335140694,0.6545454545454545,0.7818181818181819,3.0,0.7016928570589942,0.7027777777777778,110|110|110,55|55|55,0.7151515151515152,0.07348094335140694,0.6727272727272727,0.8,3.0,0.7185340696958155,0.7194444444444444,0.7333333333333334,0.07569694543513213,0.6727272727272727,0.8181818181818182,3.0,0.7343129506868921,0.7333333333333334,0.7272727272727272,0.018181818181818188,0.7090909090909091,0.7454545454545455,3.0,0.7254314853211999,0.7222222222222222,0.703030303030303,0.08592392047732018,0.6363636363636364,0.8,3.0,0.6997698853574006,0.7,0.7030303030303031,0.03784847271756606,0.6727272727272727,0.7454545454545455,3.0,0.7045363553170692,0.7,0.030303030303030276,0.06666666666666676,0.042424242424242475,0.018181818181818188,-0.0181818181818183,0.024242424242424288,0.03636363636363649,0.07878787878787874,0.06666666666666665,0.06666666666666676,0.012121212121212088,0.024242424242424176,-0.012121212121212088,-0.024242424242424065,,,,,,,,,,,,
EA,ok,,4.0,206.0,29.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.2766990291262136,0.3149435531788473,0.10511758061090927,0.2,0.45454545454545453,4.0,0.29037267080745344,0.29820716564137617,161|151|155|151,45|55|51|55,0.33802733214497915,0.0938586887422946,0.2545454545454545,0.4727272727272727,4.0,0.3387689946073696,0.3376950899977216,0.3293523469994058,0.10608981158427708,0.2,0.43636363636363634,4.0,0.3229513894333035,0.3186659831396673,0.3263517528223411,0.0843378408567779,0.2545454545454545,0.41818181818181815,4.0,0.31759302896416297,0.31576241740715427,0.3211527035056446,0.06834358806621094,0.2545454545454545,0.4,4.0,0.317424459592891,0.3174797789929369,0.3138740344622698,0.09914764393787617,0.23529411764705882,0.45454545454545453,4.0,0.30728614819523914,0.30675267714741394,0.43137254901960786,0.09705387192756534,0.29411764705882354,0.5,4.0,0.42829807361541106,0.42104835953520164,154|154|155|155,52|52|51|51,0.4023378582202112,0.07059443901526793,0.3333333333333333,0.4807692307692308,4.0,0.4026937456062339,0.3962989861016176,0.455788084464555,0.06315762810872794,0.39215686274509803,0.5192307692307693,4.0,0.4321537506174911,0.4351660401002506,0.4222285067873303,0.035112276391034154,0.37254901960784315,0.45098039215686275,4.0,0.41165873799193764,0.4093814080656186,0.4030920060331825,0.0551663120147107,0.34615384615384615,0.47058823529411764,4.0,0.3944048524190773,0.3942711893369788,0.4614441930618401,0.046787943574443894,0.4230769230769231,0.5294117647058824,4.0,0.44257679810958495,0.4433840282524493,0.11642899584076055,0.06431052607523202,0.1264357374651492,-0.02308377896613184,0.02903469079939669,0.014408793820558485,0.024415535444947123,0.09587675396498924,0.0819393025275379,0.1475701585995703,0.005199049316696458,0.0191365007541478,-0.012477718360071277,0.039215686274509776,,,,,,,,,,,,
EE,ok,,3.0,165.0,34.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.2727272727272727,0.41818181818181815,0.08331955809010615,0.34545454545454546,0.509090909090909,3.0,0.4092431491221309,0.40555555555555556,110|110|110,55|55|55,0.3878787878787879,0.0756969454351321,0.32727272727272727,0.4727272727272727,3.0,0.3738916962119688,0.37222222222222223,0.42424242424242425,0.10338619460140593,0.3090909090909091,0.509090909090909,3.0,0.4096238285415843,0.4083333333333333,0.4666666666666666,0.020994555243259126,0.45454545454545453,0.4909090909090909,3.0,0.45948079606374387,0.46111111111111114,0.4727272727272727,0.018181818181818188,0.45454545454545453,0.4909090909090909,3.0,0.46612355976532127,0.4666666666666667,0.4666666666666666,0.04198911048651825,0.41818181818181815,0.4909090909090909,3.0,0.47047826670401965,0.4666666666666667,0.48484848484848486,0.04575657233497423,0.43636363636363634,0.5272727272727272,3.0,0.4926647454952229,0.4888888888888888,110|110|110,55|55|55,0.4181818181818182,0.09620913858416694,0.3090909090909091,0.4909090909090909,3.0,0.42491429723734625,0.4222222222222222,0.48484848484848486,0.06385244698698629,0.41818181818181815,0.5454545454545454,3.0,0.49674621637029,0.49166666666666664,0.5393939393939394,0.0756969454351321,0.45454545454545453,0.6,3.0,0.5448137817990514,0.5472222222222222,0.42424242424242425,0.02777318603003538,0.4,0.45454545454545453,3.0,0.43438101512743993,0.4388888888888889,0.5515151515151514,0.08397822097303648,0.45454545454545453,0.6,3.0,0.5515123902792224,0.5583333333333333,0.06666666666666671,0.03030303030303033,0.06060606060606061,0.030303030303030276,0.06666666666666665,0.0060606060606061,0.0,0.07272727272727281,-0.048484848484848464,0.08484848484848478,-0.0060606060606061,0.11515151515151517,0.0,0.012121212121211977,,,,,,,,,,,,
ID,ok,,3.0,165.0,33.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.2727272727272727,0.6242424242424242,0.07348094335140694,0.5454545454545454,0.6909090909090909,3.0,0.6208333687367769,0.6222222222222222,110|110|110,55|55|55,0.6181818181818182,0.06555547773570891,0.5454545454545454,0.6727272727272727,3.0,0.618119841854452,0.6222222222222222,0.6545454545454547,0.018181818181818188,0.6363636363636364,0.6727272727272727,3.0,0.6482967805752616,0.6555555555555556,0.6181818181818182,0.07925270806437591,0.5272727272727272,0.6727272727272727,3.0,0.6165752463748116,0.6166666666666666,0.6303030303030303,0.09151314466994852,0.5454545454545454,0.7272727272727273,3.0,0.6317048867585172,0.6333333333333333,0.6848484848484849,0.07348094335140694,0.6,0.7272727272727273,3.0,0.6873299319727891,0.6944444444444445,0.6848484848484849,0.010497277621629563,0.6727272727272727,0.6909090909090909,3.0,0.6739532438617106,0.6972222222222222,110|110|110,55|55|55,0.6848484848484849,0.010497277621629563,0.6727272727272727,0.6909090909090909,3.0,0.6757806211988391,0.6944444444444444,0.6787878787878787,0.04575657233497425,0.6363636363636364,0.7272727272727273,3.0,0.6613090825161914,0.6861111111111111,0.7757575757575758,0.03784847271756606,0.7454545454545455,0.8181818181818182,3.0,0.7799948240165632,0.775,0.7272727272727272,0.04810456929208348,0.6909090909090909,0.7818181818181819,3.0,0.7336124401913875,0.7305555555555556,0.793939393939394,0.07348094335140687,0.7090909090909091,0.8363636363636363,3.0,0.7929414145445712,0.7944444444444445,0.060606060606060774,0.06666666666666676,0.024242424242424065,0.006060606060605989,0.0,0.030303030303030498,-0.006060606060606211,0.1575757575757576,0.09696969696969693,0.10909090909090902,-0.012121212121212088,0.048484848484848575,0.06666666666666676,0.018181818181818188,,,,,,,,,,,,
LD,ok,,3.0,165.0,33.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.2727272727272727,0.5212121212121211,0.052486388108147784,0.4909090909090909,0.5818181818181818,3.0,0.5216648130892623,0.5166666666666666,110|110|110,55|55|55,0.5515151515151514,0.05554637206007078,0.4909090909090909,0.6,3.0,0.5564677084115894,0.5527777777777778,0.5575757575757576,0.07348094335140691,0.4909090909090909,0.6363636363636364,3.0,0.5622403895256071,0.5555555555555556,0.5030303030303029,0.027773186030035372,0.4727272727272727,0.5272727272727272,3.0,0.49849186307519633,0.4944444444444444,0.5151515151515151,0.03784847271756603,0.4727272727272727,0.5454545454545454,3.0,0.5119279889406364,0.5083333333333333,0.509090909090909,0.03636363636363635,0.4727272727272727,0.5454545454545454,3.0,0.5123655576480435,0.5083333333333333,0.6181818181818182,0.04810456929208348,0.5818181818181818,0.6727272727272727,3.0,0.6242051168293404,0.6194444444444445,110|110|110,55|55|55,0.5878787878787878,0.08198635914223447,0.509090909090909,0.6727272727272727,3.0,0.5939044522803432,0.5888888888888888,0.6848484848484849,0.04575657233497426,0.6363636363636364,0.7272727272727273,3.0,0.684548334270431,0.6777777777777778,0.6121212121212122,0.06385244698698632,0.5454545454545454,0.6727272727272727,3.0,0.6046713467874125,0.5972222222222223,0.5878787878787879,0.10959479587894015,0.4727272727272727,0.6909090909090909,3.0,0.5798937282839168,0.5722222222222222,0.6484848484848484,0.04198911048651825,0.6,0.6727272727272727,3.0,0.6449320502918704,0.6388888888888888,0.09696969696969704,0.036363636363636376,0.12727272727272732,-0.030303030303030276,0.030303030303030387,0.03636363636363649,0.06666666666666676,0.10909090909090924,0.07272727272727275,0.1393939393939394,-0.0121212121212122,0.024242424242424288,0.0060606060606061,0.036363636363636265,,,,,,,,,,,,
NS,ok,,4.0,169.0,32.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.30177514792899407,0.6995337995337996,0.08937805859978575,0.6,0.8,4.0,0.6731489094053956,0.6780093019443932,114|114|149|130,55|55|20|39,0.6828962703962704,0.028742839639142467,0.65,0.717948717948718,4.0,0.6857707302312571,0.6899002704530088,0.738490675990676,0.10061132696184723,0.6363636363636364,0.85,4.0,0.7085450732819293,0.7110678283852726,0.7502622377622378,0.08164485406152887,0.6545454545454545,0.85,4.0,0.7338305993792896,0.7281355645706559,0.7756701631701632,0.05037153246547748,0.7435897435897436,0.85,4.0,0.7633096871889249,0.758255219538181,0.7566724941724942,0.09086486955659161,0.6363636363636364,0.85,4.0,0.747978672278634,0.7348720470424324,0.7870985603543743,0.025992928086170927,0.7619047619047619,0.8095238095238095,4.0,0.7999863834422658,0.7942976929538795,126|127|127|127,43|42|42|42,0.7339424141749723,0.06700651900375464,0.6904761904761905,0.8333333333333334,4.0,0.7393264454943496,0.7409800336017374,0.7931893687707641,0.03801558585917787,0.7441860465116279,0.8333333333333334,4.0,0.8039202860631433,0.797766201569447,0.8048172757475083,0.059075937444678275,0.7380952380952381,0.8809523809523809,4.0,0.8143083963314017,0.8092783821992747,0.7641196013289037,0.09685016951610356,0.627906976744186,0.8333333333333334,4.0,0.769108669108669,0.7593818509640011,0.8223975636766334,0.014949311598017264,0.8095238095238095,0.8372093023255814,4.0,0.8340784215784216,0.8281040629417911,0.08756476082057474,0.05104614377870187,0.0546986927800881,0.01663752913752914,0.05315614617940201,0.0389568764568764,0.006090808416389759,0.054555037985270505,-0.011550561841259577,0.06572506950413926,-0.02540792540792547,0.04069767441860461,0.0064102564102563875,0.017580287929125138,,,,,,,,,,,,
NZ,ok,,4.0,220.0,34.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.2727272727272727,0.4636363636363636,0.0734809433514069,0.4,0.5636363636363636,4.0,0.46499532491818607,0.46041666666666664,165|165|165|165,55|55|55|55,0.4818181818181818,0.05652957001872008,0.41818181818181815,0.5454545454545454,4.0,0.49498885928585823,0.4854166666666667,0.4727272727272727,0.05749595745760689,0.41818181818181815,0.5454545454545454,4.0,0.4814619547605473,0.4770833333333333,0.4318181818181818,0.042961960238660064,0.4,0.4909090909090909,4.0,0.4208966898919725,0.41875,0.4727272727272727,0.02571297386132901,0.43636363636363634,0.4909090909090909,4.0,0.47538355412755945,0.46875000000000006,0.3772727272727272,0.13636363636363635,0.2,0.5272727272727272,4.0,0.3749623700054735,0.3729166666666667,0.5590909090909091,0.061880538959582225,0.4727272727272727,0.6181818181818182,4.0,0.5804376345787732,0.56875,165|165|165|165,55|55|55|55,0.4954545454545455,0.05222329678670934,0.45454545454545453,0.5636363636363636,4.0,0.5137220769852016,0.5083333333333334,0.5863636363636363,0.06863485850246136,0.4909090909090909,0.6363636363636364,4.0,0.6027617260415425,0.6020833333333333,0.5545454545454545,0.04575657233497426,0.509090909090909,0.6181818181818182,4.0,0.570717438787963,0.5604166666666667,0.4909090909090909,0.039277216353987024,0.43636363636363634,0.5272727272727272,4.0,0.5052336085108006,0.49583333333333335,0.6090909090909091,0.043281384415411225,0.5636363636363636,0.6545454545454545,4.0,0.6174773970434243,0.6125,0.09545454545454546,0.013636363636363669,0.11363636363636359,-0.018181818181818188,0.0636363636363636,0.009090909090909094,0.027272727272727226,0.12272727272727263,0.018181818181818188,0.23181818181818192,-0.040909090909090895,0.06363636363636355,-0.05454545454545462,0.054545454545454675,,,,,,,,,,,,
SK,ok,,5.0,162.0,30.0,FixatedRest|LeftHand|MiddleHand|RightHand,4,0.25,0.2777777777777778,0.2877777777777778,0.03672554195786313,0.25,0.3333333333333333,5.0,0.2594000545992701,0.26924603174603173,132|138|126|126|126,30|24|36|36|36,0.35444444444444445,0.047205879524995574,0.3,0.4166666666666667,5.0,0.3580580301059537,0.35797258297258294,0.375,0.062112999374994156,0.2916666666666667,0.4444444444444444,5.0,0.3777564136629222,0.37357503607503606,0.2922222222222222,0.04772607021092118,0.2222222222222222,0.3333333333333333,5.0,0.235673844138423,0.26300505050505046,0.40777777777777774,0.04131331653906268,0.3611111111111111,0.4722222222222222,5.0,0.3925525525525525,0.39655483405483405,0.40555555555555556,0.07243558228002944,0.3333333333333333,0.5,5.0,0.40846080719038974,0.4034271284271284,0.37594696969696967,0.10807492623592166,0.25,0.5,5.0,0.342532484397842,0.35064935064935066,129|129|130|130|130,33|33|32|32|32,0.3325757575757576,0.0993695692592347,0.25,0.48484848484848486,5.0,0.32883880105464786,0.3257575757575758,0.46875,0.0943601966175002,0.375,0.59375,5.0,0.47361076952095393,0.46471861471861475,0.40094696969696975,0.03277390844619088,0.375,0.45454545454545453,5.0,0.35663001181293863,0.3702561327561327,0.3638257575757576,0.06369524016984195,0.3125,0.45454545454545453,5.0,0.3413746687478139,0.3439213564213564,0.47518939393939397,0.06288762944409858,0.40625,0.5625,5.0,0.4862958693171867,0.4709054834054834,0.08816919191919187,-0.02186868686868687,0.09375,-0.06666666666666665,0.04337121212121209,0.0872222222222222,0.09280303030303033,0.10872474747474753,-0.04395202020202016,0.06963383838383841,-0.11555555555555552,0.037121212121212166,0.11333333333333334,0.07424242424242422,,,,,,,,,,,,
