subject,status,error,n_files,n_epochs,n_epochs_before,n_channels,dropped_bads,classes,n_classes,balanced,chance,majority_baseline,n_MiddleHand,n_LeftHand,n_RightHand,n_FixatedRest,acc_full_mean_c2c,acc_full_peak_c2c,acc_full_peak_t_c2c,acc_eval_mean_c2c,acc_eval_within_sem_c2c,acc_eval_within_ci95_c2c,acc_eval_fold_min_c2c,acc_eval_fold_max_c2c,acc_eval_above_chance_c2c,f1_macro_eval_c2c,bal_acc_eval_c2c,acc_precue_mean_c2c,precue_flag_c2c,n_folds,n_windows,runtime_s_c2c,acc_full_mean_u2u,acc_full_peak_u2u,acc_full_peak_t_u2u,acc_eval_mean_u2u,acc_eval_within_sem_u2u,acc_eval_within_ci95_u2u,acc_eval_fold_min_u2u,acc_eval_fold_max_u2u,acc_eval_above_chance_u2u,f1_macro_eval_u2u,bal_acc_eval_u2u,acc_precue_mean_u2u,precue_flag_u2u,runtime_s_u2u,acc_full_mean_c2u,acc_full_peak_c2u,acc_full_peak_t_c2u,acc_eval_mean_c2u,acc_eval_within_sem_c2u,acc_eval_within_ci95_c2u,acc_eval_fold_min_c2u,acc_eval_fold_max_c2u,acc_eval_above_chance_c2u,f1_macro_eval_c2u,bal_acc_eval_c2u,acc_precue_mean_c2u,precue_flag_c2u,runtime_s_c2u,acc_full_mean_u2c,acc_full_peak_u2c,acc_full_peak_t_u2c,acc_eval_mean_u2c,acc_eval_within_sem_u2c,acc_eval_within_ci95_u2c,acc_eval_fold_min_u2c,acc_eval_fold_max_u2c,acc_eval_above_chance_u2c,f1_macro_eval_u2c,bal_acc_eval_u2c,acc_precue_mean_u2c,precue_flag_u2c,runtime_s_u2c,in_group_cohort,delta_cost_of_centering_at_inference,delta_cost_of_centering_at_inference_f1,delta_centered_vs_never_centered,delta_centered_vs_never_centered_f1,acc_eval_between_std_c2c,acc_eval_between_sem_c2c,acc_eval_between_ci95_c2c,n_subjects,f1_macro_between_std_c2c,acc_eval_between_std_u2u,acc_eval_between_sem_u2u,acc_eval_between_ci95_u2u,f1_macro_between_std_u2u,acc_eval_between_std_c2u,acc_eval_between_sem_c2u,acc_eval_between_ci95_c2u,f1_macro_between_std_c2u,acc_eval_between_std_u2c,acc_eval_between_sem_u2c,acc_eval_between_ci95_u2c,f1_macro_between_std_u2c
AEH,ok,,3.0,165.0,,31.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.4235872235872235,0.6454545454545455,3.0,0.6069930069930071,0.0162621640649606,0.03187384156732277,0.5337995337995338,0.7086247086247087,0.35699300699300707,0.5890656967092152,0.5900641025641026,0.2441077441077441,False,10.0,37.0,,0.4063882063882064,0.6181818181818183,3.0,0.5792540792540793,0.014235239517966894,0.02790106945521511,0.49184149184149173,0.6340326340326343,0.32925407925407935,0.5579701042776366,0.560042735042735,0.24478114478114477,False,,0.41097461097461097,0.6333333333333334,4.0,0.5927738927738929,0.01417488801877108,0.027782780516791318,0.5268065268065268,0.6643356643356645,0.3427738927738929,0.5682687500283208,0.5698717948717948,0.23703703703703707,False,,0.4221949221949221,0.6727272727272728,3.0,0.6034965034965035,0.015549530886350884,0.030477080537247733,0.5337995337995337,0.6923076923076924,0.3534965034965035,0.5849172849623874,0.5871794871794872,0.24983164983164988,False,,True,0.014219114219114148,0.02079694668089438,0.013519813519813573,0.010298645750684177,,,,,,,,,,,,,,,,,
AN,ok,,4.0,220.0,,34.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.489987714987715,0.8295454545454545,3.0,0.748951048951049,0.01289762779399526,0.02527935047623071,0.6748251748251749,0.8041958041958043,0.498951048951049,0.7421573305016218,0.7475160256410256,0.2313131313131313,False,10.0,37.0,,0.4773955773955773,0.7818181818181819,3.0,0.7230769230769231,0.01198030888042784,0.023481405405638568,0.6660839160839161,0.7727272727272727,0.47307692307692306,0.7151493166988091,0.719551282051282,0.23358585858585856,False,,0.4920147420147421,0.7909090909090909,3.0,0.7515734265734265,0.010692957121239861,0.020958195957630127,0.6975524475524476,0.7954545454545454,0.5015734265734265,0.7410270682666679,0.7417467948717948,0.23762626262626263,False,,0.4845208845208845,0.8068181818181819,3.0,0.7417832167832168,0.012061810922288784,0.023641149407686017,0.6695804195804196,0.7954545454545455,0.4917832167832168,0.7350424028067175,0.7424679487179486,0.2303030303030303,False,,True,-0.002622377622377492,0.0011302622349539382,0.028496503496503456,0.025877751567858764,,,,,,,,,,,,,,,,,
BA,ok,,3.0,165.0,,32.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.4531531531531531,0.7575757575757576,3.5,0.6801864801864802,0.010492675570719376,0.020565644118609977,0.6293706293706295,0.7226107226107227,0.4301864801864802,0.6792127383253295,0.6772435897435898,0.26397306397306397,False,10.0,37.0,,0.4368550368550368,0.7121212121212122,3.5,0.6424242424242426,0.013472395836328333,0.02640589583920353,0.5804195804195806,0.7296037296037295,0.39242424242424256,0.6406443213605905,0.6382478632478633,0.2653198653198653,False,,0.44938574938574927,0.7272727272727273,4.25,0.6678321678321679,0.012316136351318837,0.02413962724858492,0.5827505827505829,0.7062937062937065,0.4178321678321679,0.6682345463551297,0.6644230769230769,0.26262626262626265,False,,0.45045045045045046,0.7545454545454546,3.5,0.6878787878787879,0.01090268042945229,0.021369253641726486,0.6386946386946388,0.7412587412587412,0.43787878787878787,0.6861009638745525,0.683974358974359,0.2521885521885522,False,,True,0.01235431235431228,0.01097819197019978,0.025407925407925358,0.027590224994539225,,,,,,,,,,,,,,,,,
EA,ok,,4.0,206.0,,29.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.3300012556110118,0.45081300813008135,2.25,0.4039488966318235,0.01449365626615534,0.028407566281664465,0.2814258911819888,0.43902439024390255,0.15394889663182348,0.3945823937827572,0.3905704492875546,0.2654858691444057,False,10.0,37.0,,0.31024578585554197,0.40772357723577235,3.0,0.35884481372286253,0.013699916019941532,0.0268518353990854,0.26454033771106944,0.4322344322344322,0.10884481372286253,0.3582013476978182,0.35320206109679797,0.2644018583042974,False,,0.3242772389113854,0.4438443670150988,2.25,0.3999106584472439,0.012413543928507688,0.024330546099875068,0.32082551594746717,0.45604395604395614,0.14991065844724388,0.3946800024741163,0.3891805015160278,0.2649438637243515,False,,0.3255077377028598,0.4390243902439025,2.25,0.38731796658625933,0.015694246943433764,0.030760724009130175,0.2626641651031896,0.427767354596623,0.13731796658625933,0.37889336828433934,0.37647232153811105,0.27284165698799845,False,,True,0.004038238184579601,-9.760869135905237e-05,0.04106584472438135,0.03647865477629808,,,,,,,,,,,,,,,,,
EE,ok,,3.0,165.0,,34.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.37002457002457,0.5030303030303029,4.0,0.47272727272727266,0.015465243579953035,0.03031187741670795,0.36130536130536134,0.5268065268065267,0.22272727272727266,0.47623525956332086,0.47136752136752136,0.2734006734006734,False,10.0,37.0,,0.33292383292383293,0.42727272727272725,2.5,0.3920745920745921,0.017442931959720714,0.0341881466410526,0.3146853146853147,0.4895104895104895,0.1420745920745921,0.39267007376143853,0.3903846153846154,0.2828282828282828,False,,0.3545454545454545,0.484848484848485,3.25,0.44498834498834494,0.012258156930577791,0.02402598758393247,0.3799533799533799,0.48951048951048953,0.19498834498834494,0.44280165527715654,0.43824786324786325,0.2804713804713804,False,,0.36298116298116295,0.49393939393939396,3.25,0.4652680652680653,0.01918483994397137,0.03760228629018388,0.32867132867132864,0.5314685314685316,0.2152680652680653,0.47077140731466594,0.468482905982906,0.2707070707070707,False,,True,0.02773892773892772,0.03343360428616432,0.05291375291375283,0.050131581515718004,,,,,,,,,,,,,,,,,
ID,ok,,3.0,165.0,,33.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.448075348075348,0.6787878787878789,2.75,0.6391608391608393,0.01088799630495935,0.021340472757720327,0.5804195804195805,0.68997668997669,0.3891608391608393,0.6318974001622755,0.6477564102564103,0.2781144781144781,False,10.0,37.0,,0.4351351351351351,0.6666666666666667,3.0,0.6184149184149185,0.010011256251859875,0.019622062253645354,0.5710955710955712,0.6643356643356644,0.36841491841491847,0.6120516075407962,0.6261752136752137,0.2831649831649831,False,,0.4497133497133496,0.6666666666666667,4.25,0.6303030303030305,0.011640498604539234,0.022815377264896897,0.5804195804195805,0.6876456876456878,0.3803030303030305,0.6241301578489,0.6384615384615384,0.2925925925925926,False,,0.44226044226044214,0.687878787878788,3.25,0.6440559440559441,0.011488318443218282,0.022517104148707834,0.5850815850815851,0.7016317016317017,0.39405594405594413,0.6371795065236185,0.6502136752136752,0.2713804713804714,False,,True,0.008857808857808847,0.007767242313375444,0.011888111888112007,0.012078550308103786,,,,,,,,,,,,,,,,,
LD,ok,,3.0,165.0,,33.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.4370188370188369,0.6393939393939395,3.5,0.6034965034965036,0.021328494415192432,0.04180384905377717,0.47086247086247074,0.6993006993006995,0.35349650349650363,0.6005702427781144,0.5924145299145299,0.29663299663299664,False,10.0,37.0,,0.40851760851760843,0.5757575757575758,3.25,0.5484848484848486,0.01824231694862041,0.035754941219296,0.4778554778554779,0.6247086247086249,0.2984848484848486,0.5481438736507154,0.5423076923076923,0.2808080808080808,False,,0.42530712530712533,0.609090909090909,4.0,0.5818181818181819,0.020988227856848164,0.0411369265994224,0.4778554778554779,0.6643356643356644,0.3318181818181819,0.5775548361045333,0.5697649572649572,0.2872053872053872,False,,0.4253071253071252,0.6272727272727272,3.0,0.5815850815850817,0.017144271681871173,0.0336027724964675,0.48951048951048937,0.6666666666666666,0.3315850815850817,0.5821028000624078,0.5760683760683761,0.2892255892255892,False,,True,0.021678321678321733,0.02301540667358115,0.033333333333333326,0.029410962453817913,,,,,,,,,,,,,,,,,
NS,ok,,4.0,169.0,,32.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.4692706075059016,0.7570409982174688,3.5,0.698546551487728,0.009033999542180463,0.017706639102673706,0.6425339366515838,0.731934731934732,0.44854655148772804,0.7105530102877594,0.710245978666364,0.2626460685284215,False,10.0,37.0,,0.4361902008960832,0.7045454545454546,3.25,0.6429041546688606,0.012981329261775408,0.0254434053530798,0.5791855203619909,0.7086247086247088,0.39290415466886064,0.6507563943745404,0.654023284018213,0.24611804317686667,False,,0.46002794238088346,0.7425133689839573,3.0,0.6827642945290004,0.009137538693885637,0.01790957584001585,0.6515837104072398,0.7285067873303166,0.43276429452900045,0.693311309973742,0.6951807630053066,0.2543176866706279,False,,0.4617478441007853,0.7544563279857398,3.25,0.6925339366515837,0.013707397756892926,0.026866499603510136,0.6176470588235292,0.7575757575757576,0.4425339366515837,0.7014520557070618,0.7007973320346546,0.2508318478906714,False,,True,0.015782256958727592,0.017241700314017394,0.03986013986013981,0.04255491559920166,,,,,,,,,,,,,,,,,
NZ,ok,,4.0,220.0,,34.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.36246928746928747,0.5659090909090909,3.25,0.5101398601398601,0.013653785217349623,0.02676141902600526,0.45454545454545453,0.5716783216783217,0.2601398601398601,0.5273958819480808,0.5210737179487179,0.23484848484848486,False,10.0,37.0,,0.3467444717444717,0.509090909090909,3.25,0.45926573426573425,0.016331682552957246,0.032010097803796204,0.38461538461538464,0.5367132867132867,0.20926573426573425,0.47633152019383534,0.46931089743589743,0.25176767676767675,False,,0.36517199017199015,0.5318181818181819,3.25,0.4886363636363636,0.015046367263453797,0.02949087983636944,0.4248251748251748,0.5576923076923076,0.2386363636363636,0.5052267792902336,0.49439102564102566,0.26186868686868686,False,,0.36738329238329237,0.5568181818181818,3.25,0.512937062937063,0.01630910564151473,0.03196584705736887,0.4283216783216783,0.5944055944055944,0.262937062937063,0.5287801016540828,0.5267628205128205,0.24419191919191915,False,,True,0.021503496503496533,0.022169102657847217,0.029370629370629342,0.028895259096398285,,,,,,,,,,,,,,,,,
SK,ok,,5.0,162.0,,30.0,,MiddleHand|LeftHand|RightHand|FixatedRest,4,,0.25,,,,,,0.34767608517608517,0.4878787878787879,2.5,0.41277680652680654,0.017010221352382268,0.03334003385066925,0.32867132867132864,0.4825174825174824,0.16277680652680654,0.4202700320956006,0.4110646298146298,0.30746001683501684,False,10.0,37.0,,0.30629606879606885,0.41638257575757576,1.75,0.3237907925407925,0.018082031989865546,0.03544078270013647,0.25407925407925397,0.4219114219114219,0.07379079254079252,0.3187389554537746,0.3168040293040293,0.2798821548821549,False,,0.3131321662571662,0.4011363636363637,2.5,0.35115821678321674,0.011876765541294439,0.0232784604609371,0.28438228438228424,0.40326340326340326,0.10115821678321674,0.30880512562006285,0.3233148795648796,0.2950968013468014,False,,0.3281173218673218,0.45672348484848485,2.25,0.3892846736596737,0.022743113462166762,0.04457650238584685,0.28205128205128194,0.5104895104895106,0.13928467365967367,0.3887604469685128,0.39329628704628705,0.2837226430976431,False,,True,0.0616185897435898,0.11146490647553775,0.02736742424242422,-0.009933829833711771,,,,,,,,,,,,,,,,,
