subject,status,error,n_files,n_epochs,n_epochs_before,n_channels,dropped_bads,classes,n_classes,balanced,chance,majority_baseline,n_MiddleHand,n_LeftHand,n_RightHand,n_FixatedRest,acc_full_mean_c2c,acc_full_peak_c2c,acc_full_peak_t_c2c,acc_eval_mean_c2c,acc_eval_within_sem_c2c,acc_eval_within_ci95_c2c,acc_eval_fold_min_c2c,acc_eval_fold_max_c2c,acc_eval_above_chance_c2c,f1_macro_eval_c2c,bal_acc_eval_c2c,acc_precue_mean_c2c,precue_flag_c2c,n_folds,n_windows,runtime_s_c2c,acc_full_mean_u2u,acc_full_peak_u2u,acc_full_peak_t_u2u,acc_eval_mean_u2u,acc_eval_within_sem_u2u,acc_eval_within_ci95_u2u,acc_eval_fold_min_u2u,acc_eval_fold_max_u2u,acc_eval_above_chance_u2u,f1_macro_eval_u2u,bal_acc_eval_u2u,acc_precue_mean_u2u,precue_flag_u2u,runtime_s_u2u,acc_full_mean_c2u,acc_full_peak_c2u,acc_full_peak_t_c2u,acc_eval_mean_c2u,acc_eval_within_sem_c2u,acc_eval_within_ci95_c2u,acc_eval_fold_min_c2u,acc_eval_fold_max_c2u,acc_eval_above_chance_c2u,f1_macro_eval_c2u,bal_acc_eval_c2u,acc_precue_mean_c2u,precue_flag_c2u,runtime_s_c2u,acc_full_mean_u2c,acc_full_peak_u2c,acc_full_peak_t_u2c,acc_eval_mean_u2c,acc_eval_within_sem_u2c,acc_eval_within_ci95_u2c,acc_eval_fold_min_u2c,acc_eval_fold_max_u2c,acc_eval_above_chance_u2c,f1_macro_eval_u2c,bal_acc_eval_u2c,acc_precue_mean_u2c,precue_flag_u2c,runtime_s_u2c,in_group_cohort,delta_cost_of_centering_at_inference,delta_cost_of_centering_at_inference_f1,delta_centered_vs_never_centered,delta_centered_vs_never_centered_f1,acc_eval_between_std_c2c,acc_eval_between_sem_c2c,acc_eval_between_ci95_c2c,n_subjects,f1_macro_between_std_c2c,acc_eval_between_std_u2u,acc_eval_between_sem_u2u,acc_eval_between_ci95_u2u,f1_macro_between_std_u2u,acc_eval_between_std_c2u,acc_eval_between_sem_c2u,acc_eval_between_ci95_c2u,f1_macro_between_std_c2u,acc_eval_between_std_u2c,acc_eval_between_sem_u2c,acc_eval_between_ci95_u2c,f1_macro_between_std_u2c
AEH,ok,,3.0,238.0,,32.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.4558558558558558,0.7523809523809525,2.75,0.7146520146520146,0.018448435504920313,0.03615893358964381,0.6446886446886447,0.7985347985347987,0.38131868131868124,0.7145207527869445,0.710826210826211,0.1952380952380952,False,10.0,37.0,,0.41853281853281843,0.680952380952381,4.25,0.6509157509157509,0.01658989775312494,0.03251619959612488,0.5787545787545787,0.7326007326007328,0.3175824175824176,0.6510695870059415,0.648005698005698,0.1783068783068783,False,,0.43616473616473606,0.7333333333333333,3.0,0.6868131868131868,0.01287852448701401,0.02524190799454746,0.6446886446886446,0.747252747252747,0.3534798534798535,0.6782145505986387,0.6797720797720798,0.17566137566137566,False,,0.43564993564993565,0.7238095238095237,3.5,0.6827838827838828,0.018037787851154438,0.0353540641882627,0.6153846153846154,0.7619047619047618,0.3494505494505495,0.6873723280146472,0.6816239316239315,0.18677248677248676,False,,True,0.02783882783882774,0.036306202188305825,0.03589743589743588,0.027144963592697136,,,,,,,,,,,,,,,,,
AN,ok,,4.0,317.0,,35.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.45820463320463317,0.8535714285714286,3.0,0.7478021978021977,0.0082193427371124,0.016109911764740303,0.7032967032967032,0.7857142857142855,0.4144688644688644,0.7500724179687728,0.7591880341880343,0.15238095238095237,False,10.0,37.0,,0.43484555984555984,0.8,2.75,0.7159340659340659,0.015308112596312724,0.030003900688772938,0.6236263736263735,0.7884615384615384,0.38260073260073263,0.7164485422758649,0.7228632478632478,0.1496031746031746,False,,0.44324324324324316,0.8214285714285715,2.5,0.7326923076923078,0.01547077088277726,0.030322710930243427,0.6373626373626374,0.7912087912087912,0.39935897435897444,0.7301197205050759,0.733974358974359,0.14126984126984127,False,,0.4506756756756757,0.8535714285714286,3.0,0.7428571428571429,0.008955650680144792,0.01755307533308379,0.6950549450549451,0.7829670329670328,0.40952380952380957,0.7459253303913681,0.7568376068376068,0.15198412698412697,False,,True,0.015109890109889945,0.019952697463696878,0.01675824175824181,0.013671178229211045,,,,,,,,,,,,,,,,,
BA,ok,,3.0,239.0,,31.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.5011583011583013,0.8904761904761905,2.5,0.8399267399267399,0.016032355125887323,0.03142341604673915,0.7252747252747251,0.9194139194139196,0.5065934065934066,0.8322544291901274,0.8250712250712251,0.1835978835978836,False,10.0,37.0,,0.4821106821106822,0.8476190476190476,2.5,0.8073260073260073,0.017963247796437598,0.035207965681017694,0.6923076923076924,0.8937728937728939,0.47399267399267403,0.79652101155698,0.7901709401709401,0.1835978835978836,False,,0.4891891891891893,0.8761904761904763,3.5,0.8223443223443224,0.019144816345361467,0.03752384003690847,0.6923076923076924,0.9010989010989012,0.4890109890109891,0.8111924484594683,0.8055555555555557,0.1735449735449735,False,,0.4920205920205921,0.8714285714285716,2.5,0.8256410256410256,0.016778884870624584,0.03288661434642418,0.7326007326007324,0.9230769230769232,0.4923076923076923,0.8161461819774377,0.8089743589743591,0.18412698412698408,False,,True,0.01758241758241752,0.021061980730659124,0.015018315018315076,0.014671436902488288,,,,,,,,,,,,,,,,,
EA,ok,,4.0,298.0,,30.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.4573419573419574,0.7290598290598291,2.75,0.6730550076703923,0.01102613412215185,0.021611222879417625,0.6183431952662721,0.7307692307692307,0.33972167433705897,0.6593622261674527,0.6682676972150657,0.21521050965495409,False,10.0,37.0,,0.4236736736736736,0.6987179487179487,2.75,0.6405873328950251,0.015488808206517667,0.03035806408477463,0.5555555555555556,0.7130177514792899,0.3072539995616918,0.6340127871936825,0.6320696847012637,0.19020259575815132,False,,0.40933240933240933,0.6829059829059829,2.75,0.6272298926145079,0.014890004596553295,0.029184409009244457,0.5562130177514792,0.6952662721893491,0.2938965592811746,0.611247146459509,0.6307569623359098,0.1707344096232985,False,,0.45657580657580654,0.7254985754985755,2.75,0.6732522463291695,0.01435584081039492,0.028137447988374042,0.6005917159763313,0.7455621301775146,0.33991891299583615,0.658300875621181,0.652729726413937,0.2220639442861665,False,,True,0.04582511505588438,0.04811507970794371,-0.013357440280517219,-0.02276564073417353,,,,,,,,,,,,,,,,,
EE,ok,,3.0,239.0,,35.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.4643500643500643,0.661904761904762,2.75,0.6164835164835165,0.019959168829048024,0.039119970904934125,0.5091575091575092,0.7069597069597069,0.2831501831501832,0.5973942484099711,0.593019943019943,0.3047619047619047,False,10.0,37.0,,0.42908622908622907,0.6095238095238096,2.25,0.5637362637362637,0.01968388788833388,0.0385804202611344,0.4652014652014652,0.641025641025641,0.23040293040293042,0.5439002436289494,0.5414529914529914,0.29947089947089944,False,,0.44195624195624195,0.6380952380952382,3.0,0.5974358974358973,0.01719358755840708,0.03369943161447788,0.5018315018315018,0.6630036630036629,0.264102564102564,0.5738895954574589,0.5752136752136752,0.28835978835978837,False,,0.454054054054054,0.6666666666666667,2.25,0.6014652014652014,0.019373561387349164,0.03797218031920436,0.5091575091575091,0.684981684981685,0.2681318681318681,0.5856013378715481,0.5783475783475783,0.3058201058201058,False,,True,0.019047619047619202,0.02350465295251225,0.03369963369963358,0.02998935182850948,,,,,,,,,,,,,,,,,
ID,ok,,3.0,239.0,,33.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.47760617760617763,0.8142857142857143,3.0,0.7293040293040293,0.016557514903883536,0.03245272921161173,0.6593406593406593,0.8021978021978021,0.39597069597069595,0.7337455970084431,0.7414529914529915,0.2714285714285714,False,10.0,37.0,,0.46949806949806955,0.8,3.0,0.7021978021978021,0.010375637036711537,0.02033624859195461,0.6556776556776558,0.761904761904762,0.36886446886446883,0.7073663424753013,0.7099715099715099,0.26455026455026454,False,,0.4724581724581724,0.8047619047619048,3.0,0.7172161172161172,0.011516313672822085,0.022571974798731284,0.6703296703296703,0.7655677655677654,0.3838827838827839,0.7210627021532003,0.7282051282051283,0.2523809523809523,False,,0.4716859716859716,0.8047619047619048,3.0,0.7175824175824176,0.013590462129417719,0.026637305773658727,0.6446886446886446,0.7838827838827839,0.38424908424908427,0.721640489513406,0.7245014245014246,0.2761904761904762,False,,True,0.012087912087912045,0.012682894855242766,0.015018315018315076,0.013696359677899062,,,,,,,,,,,,,,,,,
LD,ok,,3.0,238.0,,34.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.4541827541827542,0.7714285714285715,2.75,0.6937728937728938,0.017234725263583762,0.033780061516624174,0.6190476190476188,0.769230769230769,0.36043956043956044,0.6866045765726542,0.6723646723646723,0.23597883597883595,False,10.0,37.0,,0.41634491634491627,0.7333333333333334,2.75,0.6208791208791209,0.022209136213301246,0.04352990697807044,0.5054945054945056,0.7252747252747251,0.2875457875457876,0.6126163104912742,0.5991452991452991,0.2333333333333333,False,,0.4258687258687258,0.7238095238095238,3.0,0.6600732600732601,0.027279473636758814,0.053467768328047276,0.5421245421245421,0.7985347985347985,0.32673992673992674,0.6493147010351307,0.6378917378917378,0.22116402116402112,False,,0.43796653796653784,0.7476190476190476,2.75,0.6622710622710622,0.012826906946685127,0.02514073761550285,0.6007326007326006,0.7106227106227107,0.32893772893772893,0.6581259984331002,0.6454415954415954,0.22751322751322753,False,,True,0.03369963369963369,0.0372898755375235,0.039194139194139166,0.036698390543856485,,,,,,,,,,,,,,,,,
NS,ok,,4.0,240.0,,33.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.5227541827541827,0.9173809523809524,3.0,0.8230402930402929,0.010939986970806248,0.021442374462780245,0.7728937728937727,0.8615384615384616,0.4897069597069596,0.8203225035673355,0.814500442086649,0.22489417989417987,False,10.0,37.0,,0.4960682110682111,0.8792857142857142,3.0,0.7769597069597068,0.01131634312985055,0.022180032534507076,0.7269230769230769,0.8278388278388279,0.4436263736263735,0.7727423454753454,0.7648393751842028,0.2134391534391534,False,,0.48995495495495495,0.8935714285714285,2.5,0.7948901098901098,0.013284371239922765,0.02603736763024862,0.7106227106227105,0.8461538461538461,0.46155677655677646,0.7917459194474312,0.7888888888888889,0.1875925925925926,False,,0.526924066924067,0.9223809523809523,2.75,0.812948717948718,0.01426318234988473,0.02795583740577407,0.7472527472527472,0.8807692307692309,0.4796153846153847,0.8075500321891319,0.7981628843697809,0.2512962962962963,False,,True,0.02815018315018314,0.02857658411990427,0.017930402930402933,0.019003573972085852,,,,,,,,,,,,,,,,,
NZ,ok,,4.0,319.0,,35.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.42268339768339763,0.7250000000000001,3.5,0.6722527472527473,0.021507673105549262,0.042155039286876556,0.5714285714285714,0.8214285714285714,0.338919413919414,0.6545062327251797,0.6498931623931624,0.20515873015873015,False,10.0,37.0,,0.4264478764478765,0.7178571428571429,3.25,0.6351648351648351,0.023133542960084703,0.04534174420176602,0.5384615384615384,0.7774725274725274,0.3018315018315018,0.6116488248009383,0.6079059829059829,0.2253968253968254,False,,0.4244208494208494,0.7035714285714286,3.75,0.6510989010989011,0.022550540617760267,0.044199059610810124,0.5439560439560439,0.804945054945055,0.3177655677655678,0.6279289587024032,0.6240384615384615,0.2126984126984127,False,,0.43889961389961396,0.75,3.25,0.668956043956044,0.019849838480385844,0.03890568342155625,0.5906593406593407,0.8021978021978022,0.3356227106227107,0.6484110356678168,0.6460470085470086,0.23095238095238094,False,,True,0.02115384615384619,0.026577274022776542,0.01593406593406599,0.016280133901464877,,,,,,,,,,,,,,,,,
SK,ok,,5.0,232.0,,31.0,,MiddleHand|Rest|FixatedRest,3,,0.3333333333333333,,,,,,0.5181402831402832,0.7973809523809524,2.25,0.7345787545787547,0.01673125458341007,0.03279325898348374,0.6423076923076921,0.8307692307692309,0.40124542124542134,0.731323067085406,0.7128001628001628,0.30603174603174604,False,10.0,37.0,,0.4151222651222651,0.619047619047619,2.5,0.5654578754578754,0.015333442034920076,0.03005354638844335,0.47692307692307695,0.6269230769230769,0.2321245421245421,0.5592900327298925,0.5432946682946683,0.28058201058201054,False,,0.45601673101673096,0.6583333333333333,3.0,0.6335164835164835,0.013028403436834559,0.025535670736195736,0.5653846153846154,0.7,0.30018315018315017,0.5425740070061891,0.5752645502645503,0.31039682539682545,False,,0.442934362934363,0.6826190476190477,2.75,0.6202564102564102,0.02007153321805757,0.03934020510739284,0.5307692307692308,0.726923076923077,0.2869230769230769,0.6309202671514679,0.6171855921855922,0.27923280423280417,False,,True,0.10106227106227117,0.18874906007921688,0.06805860805860808,-0.016716025723703454,,,,,,,,,,,,,,,,,
